machine_id,timestamp,air_temperature,process_temperature,rotational_speed,torque,tool_wear
M01,1/7/2024 20:00,295.78,310.19,1701,27.81,2.4
M01,1/7/2024 21:00,301.25,305.61,2064,21.11,0
M01,1/7/2024 22:00,299.21,308.93,2316,34.68,1
M01,1/7/2024 23:00,301.09,310.31,1526,44.43,0.7
M01,1/8/2024 0:00,301.7,307.36,1389,33.3,1.6
M01,1/8/2024 1:00,296.85,305.3,2140,38.77,8.5
M01,1/8/2024 2:00,298.86,310.81,2631,40.21,6.6
M01,1/8/2024 3:00,300.99,311.07,1978,29.73,6.7
M01,1/8/2024 4:00,297.59,306.47,1746,44.56,7.9
M01,1/8/2024 5:00,299.44,308.74,1701,25.72,5.6
M01,1/8/2024 6:00,299.48,308.9,1864,49.5,10.4
M01,1/8/2024 7:00,295.22,307.21,1748,22.32,12.5
M01,1/8/2024 8:00,300.03,306.49,2222,33.85,13.3
M01,1/8/2024 9:00,296.85,306.73,2349,38.86,12.4
M01,1/8/2024 10:00,299.08,317.58,1483,37.83,6.5
M01,1/8/2024 11:00,300.54,307.96,1330,33.47,12.4
M01,1/8/2024 12:00,296.76,308.87,1223,43.81,8.3
M01,1/8/2024 13:00,300.26,310.38,1896,23.9,12.3
M01,1/8/2024 14:00,301.68,311.13,1739,54.02,16.3
M01,1/8/2024 15:00,295.74,309.38,2239,41.31,11
M01,1/8/2024 16:00,298.78,310.45,2286,52.15,16.2
M01,1/8/2024 17:00,295.78,307.54,1829,28.38,13.4
M01,1/8/2024 18:00,295.55,310.12,1341,54.23,17
M01,1/8/2024 19:00,299.62,311.63,1538,29.28,21.2
M01,1/8/2024 20:00,296.48,308.78,1611,44.95,17.2
M01,1/8/2024 21:00,297.61,311.3,2124,24.24,16.2
M01,1/8/2024 22:00,307.37,306.61,1651,20.25,21.8
M01,1/8/2024 23:00,295.5,306.67,2194,27.5,16.8
M01,1/9/2024 0:00,299,308.31,2168,48.26,18.2
M01,1/9/2024 1:00,298.02,307.97,2156,50.23,17.6
M01,1/9/2024 2:00,299.52,305.42,1894,48.02,18.9
M01,1/9/2024 3:00,298.75,305.98,1575,29.75,21.1
M01,1/9/2024 4:00,298.1,311.03,2327,23.43,25.8
M01,1/9/2024 5:00,295.1,305.65,1684,25.82,24.9
M01,1/9/2024 6:00,297.81,305.41,1976,20.08,24.7
M01,1/9/2024 7:00,300.5,307,2338,43.17,26.5
M01,1/9/2024 8:00,296.52,313.87,2310,22.13,237
M01,1/9/2024 9:00,295.56,306.3,1339,43.63,25.5
M01,1/9/2024 10:00,301.23,306.72,1281,41.68,28.1
M01,1/9/2024 11:00,298.66,311.54,1618,43.44,27.8
M01,1/9/2024 12:00,295.92,309.52,2136,31.07,32.9
M01,1/9/2024 13:00,298.21,311.99,1404,22.56,28.3
M01,1/9/2024 14:00,301.53,311.17,1700,32.93,28.5
M01,1/9/2024 15:00,299.92,309.28,2283,20.27,35.9
M01,1/9/2024 16:00,299.64,311.57,1475,29.26,37.3
M01,1/9/2024 17:00,296.09,306.97,1631,45.12,31.2
M01,1/9/2024 18:00,296.85,308.42,1304,23.23,34.2
M01,1/9/2024 19:00,295.02,310.4,1736,25.66,35.1
M01,1/9/2024 20:00,298.93,305.78,1505,39.1,39.8
M01,1/9/2024 21:00,296.04,305.89,1831,32.76,41.6
M01,1/9/2024 22:00,295.28,307.5,1711,43.34,36.5
M01,1/9/2024 23:00,301.12,311.82,1516,52.4,36.1
M01,1/10/2024 0:00,300.6,306.24,2044,20.87,41.9
M01,1/10/2024 1:00,301.52,310.62,1708,29.34,43.2
M01,1/10/2024 2:00,301.11,311.01,1655,26.99,45.2
M01,1/10/2024 3:00,300.74,311.1,1656,20.83,38.7
M01,1/10/2024 4:00,301.05,311.77,1771,32.29,42.7
M01,1/10/2024 5:00,300.91,307.32,1256,24.04,48
M01,1/10/2024 6:00,301.74,306.86,1422,40.88,42.5
M01,1/10/2024 7:00,298.05,311.89,1436,33.48,45.6
M01,1/10/2024 8:00,299.96,305.01,2302,44.04,50
M01,1/10/2024 9:00,296.38,308.02,1876,41.81,48
M01,1/10/2024 10:00,301.3,308.55,2036,31.42,49.1
M01,1/10/2024 11:00,296.34,309.65,1976,43.71,51.9
M01,1/10/2024 12:00,297.11,308.84,1200,30.64,45.7
M01,1/10/2024 13:00,299.25,307.26,2104,35.48,46.5
M01,1/10/2024 14:00,301.31,310.57,1547,43.06,48
M01,1/10/2024 15:00,299.33,305.65,1681,43.55,48.2
M01,1/10/2024 16:00,295.17,306.71,2173,41.39,54.4
M01,1/10/2024 17:00,301.2,309.03,1986,37.3,49.9
M01,1/10/2024 18:00,295.04,310.26,1418,47.24,50.4
M01,1/10/2024 19:00,299.87,308.25,2341,28.72,57.4
M01,1/10/2024 20:00,300.61,309.67,2344,40.84,59.2
M01,1/10/2024 21:00,299.29,310.03,2233,34.94,59.5
M01,1/10/2024 22:00,296.11,311.03,2121,29.07,53.7
M01,1/10/2024 23:00,300.36,308.65,1689,29.61,52.8
M01,1/11/2024 0:00,296.9,307.24,2306,22.82,54.3
M01,1/11/2024 1:00,296.07,306.5,2049,34.27,58.9
M01,1/11/2024 2:00,296.45,307.94,2396,53.11,54.5
M01,1/11/2024 3:00,299.03,308.34,1920,30.45,58.9
